id;Title;Genre;Premiere;Runtime;IMDB_Score;Language
137;The Midnight Sky;Science fiction;23.12.2020;118;5.6;English
138;The Paramedic;Thriller;16.09.2020;94;5.6;Spanish
139;The Sleepover;Comedy;21.08.2020;103;5.6;English
140;Vampires vs. the Bronx;Horror comedy;02.10.2020;86;5.6;English
141;Why Did You Kill Me?;Documentary;14.04.2021;83;5.6;English
142;A Week Away;Christian musical;26.03.2021;97;5.7;English
143;Caught by a Wave;Romantic teen drama;25.03.2021;99;5.7;Italian
144;Christmas Inheritance;Romantic drama;15.12.2017;104;5.7;English
145;Dad Wanted;Family;11.09.2020;102;5.7;Spanish
146;El Camino Christmas;Dark comedy;08.12.2017;89;5.7;English
147;Eli;Horror;18.10.2019;98;5.7;English
148;Ginny Weds Sunny;Romantic comedy;09.10.2020;125;5.7;Hindi
149;Good Sam;Drama;16.05.2019;89;5.7;English
150;Lionheart;Comedy;04.01.2019;94;5.7;English
151;Little Evil;Comedy horror;01.09.2017;94;5.7;English
152;One Take;Documentary;18.06.2020;85;5.7;Thai
153;Out of Many, One;Documentary;12.12.2018;34;5.7;English
154;Point Blank;Action;12.07.2019;86;5.7;English
155;Prime Time;Thriller;14.04.2021;91;5.7;Polish
156;The Do-Over;Action comedy;27.05.2016;108;5.7;English
157;The Holiday Calendar;Romantic comedy;02.11.2018;95;5.7;English
158;The Woman in the Window;Psychological thriller;14.05.2021;100;5.7;English
159;The Wrong Missy;Comedy;13.05.2020;90;5.7;English
160;Velvet Buzzsaw;Thriller;01.02.2019;112;5.7;English
161;Yes Day;Comedy;12.03.2021;86;5.7;English
162;15 August;Comedy-drama;29.03.2019;124;5.8;Marathi
163;A California Christmas;Romantic comedy;14.12.2020;107;5.8;English
164;A Christmas Prince;Romantic comedy;17.11.2017;92;5.8;English
165;All Day and a Night;Drama;01.05.2020;121;5.8;English
166;American Son;Drama;01.11.2019;90;5.8;English
167;Barry;Biopic;16.12.2016;104;5.8;English
168;Candy Jar;Comedy;27.04.2018;92;5.8;English
169;Choked: Paisa Bolta Hai;Drama;05.06.2020;114;5.8;Hindi
170;Class of '83;Drama;21.08.2020;98;5.8;Hindi
171;Extinction;Science fiction/Thriller;27.07.2018;95;5.8;English
172;Happy Anniversary;Romantic comedy;30.03.2018;78;5.8;English
173;I Am All Girls;Thriller;14.05.2021;107;5.8;English
174;Let It Snow;Romantic comedy;08.11.2019;92;5.8;English
175;Mascots;Mockumentary;13.10.2016;95;5.8;English
176;Operation Christmas Drop;Romantic comedy;05.11.2020;96;5.8;English
177;Rajma Chawal;Comedy-drama;30.11.2018;118;5.8;Hindi
178;Rich in Love;Romantic comedy;30.04.2020;105;5.8;Portuguese
179;Rising High;Satire;17.04.2020;94;5.8;German
180;Rodney King;One-man show;28.04.2017;52;5.8;English
181;Sierra Burgess Is a Loser;Romantic comedy-drama;07.09.2018;105;5.8;English
182;Small Crimes;Dark comedy;28.04.2017;95;5.8;English
183;Special Correspondents;Satire;29.04.2016;100;5.8;English
184;TAU;Science fiction/Thriller;29.06.2018;97;5.8;English
185;The After Party;Comedy;24.08.2018;89;5.8;English
186;The Babysitter: Killer Queen;Comedy/Horror;10.09.2020;102;5.8;English
187;The Claus Family;Fantasy;07.12.2020;96;5.8;Dutch
188;The Kissing Booth 2;Romantic comedy;24.07.2020;131;5.8;English
189;The Perfect Date;Romantic comedy;12.04.2019;89;5.8;English
190;What We Wanted;Drama;11.11.2020;93;5.8;German
191;You've Got This;Romantic comedy;02.10.2020;111;5.8;Spanish
192;6 Balloons;Drama;06.04.2018;75;5.9;English
193;A Fall from Grace;Thriller;17.01.2020;120;5.9;English
194;Amateur;Sports-drama;06.04.2018;96;5.9;English
195;Army of the Dead;Zombie/Heist;21.05.2021;148;5.9;English
196;Cam;Psychological horror;16.11.2018;94;5.9;English
197;Earthquake Bird;Mystery;15.11.2019;107;5.9;English
198;Frankenstein's Monster's Monster, Frankenstein;Mockumentary;16.07.2019;32;5.9;English
199;Horse Girl;Drama;07.02.2020;104;5.9;English
200;Notes from Dunblane: Lesson from a School Shooting;Documentary;28.09.2018;23;5.9;English
201;Maska;Romantic comedy;27.03.2020;111;5.9;Hindi
202;The Decline;Thriller;27.03.2020;83;5.9;French
203;The Minimalists: Less Is Now;Documentary;01.01.2021;53;5.9;English
204;The Polka King;Comedy-drama;12.01.2018;95;5.9;English
205;The Prom;Musical;11.12.2020;132;5.9;English
206;True Memoirs of an International Assassin;Action comedy;11.11.2016;98;5.9;English
207;Ultras;Sports film;20.03.2020;108;5.9;Italian
208;Come Sunday;Biopic;13.04.2018;106;6;English
209;Forgive Us Our Debts;Drama;04.05.2018;104;6;Italian
210;iBoy;Science fiction/Thriller;27.01.2017;90;6;English
211;Lovefucked;Drama;09.08.2019;106;6;Hindi
212;Juanita;Drama;08.03.2019;90;6;English
213;Murder Mystery;Comedy mystery;14.06.2019;97;6;English
214;Project Power;Superhero;14.08.2020;113;6;English
215;Rebecca;Romantic thriller;21.10.2020;123;6;English
216;The Christmas Chronicles: Part Two;Christmas comedy;25.11.2020;115;6;English
217;The Kissing Booth;Romantic comedy;11.05.2018;105;6;English
218;The Princess Switch;Romantic comedy;16.11.2018;101;6;English
219;To All the Boys: P.S. I Still Love You;Romantic comedy;12.02.2020;102;6;English
220;War Machine;War-Comedy;26.05.2017;122;6;English
221;6 Underground;Action;13.12.2019;128;6.1;English
222;Between Two Ferns: The Movie;Comedy;20.09.2019;82;6.1;English
223;Burning Sands;Drama;10.03.2017;102;6.1;English
224;Casting JonBenet;Documentary;28.04.2017;80;6.1;English
225;Deidra & Laney Rob a Train;Drama;17.03.2017;94;6.1;English
226;Finding 'Ohana;Family;29.01.2021;123;6.1;English
227;Holidate;Romantic comedy/Holiday;28.10.2020;104;6.1;English
228;Holiday in the Wild;Adventure-romance;01.11.2019;85;6.1;English
229;Hot Girls Wanted;Documentary;29.05.2015;84;6.1;English
230;Like Father;Comedy;03.08.2018;103;6.1;English
231;Lost Girls;Crime drama;13.03.2020;95;6.1;English
232;Otherhood;Comedy;02.08.2019;100;6.1;English
233;Pee-wee's Big Holiday;Adventure;18.03.2016;89;6.1;English
234;Rogue City;Crime drama;30.10.2020;116;6.1;French
235;Sergio;Biopic;17.04.2020;118;6.1;English
236;Stuck Apart;Drama;08.01.2021;96;6.1;Turkish
237;Tersanjung the Movie;Drama;01.04.2021;114;6.1;Indonesian
238;The Killer;Western;10.11.2017;99;6.1;Portuguese
239;The Lovebirds;Romantic comedy;22.05.2020;87;6.1;English
240;The Most Hated Woman in America;Biopic;24.03.2017;92;6.1;English
241;The Perfection;Horror-thriller;24.05.2019;90;6.1;English
242;Tribhanga – Tedhi Medhi Crazy;Drama;15.01.2021;95;6.1;Hindi
243;Unknown Origins;Thriller;28.08.2020;96;6.1;Spanish
244;Work It;Dance comedy;07.08.2020;93;6.1;English
245;Alien Xmas;Stop Motion;20.11.2020;42;6.2;English
246;Baggio: The Divine Ponytail;Biopic;26.05.2021;92;6.2;Italian
247;Below Zero;Drama;29.01.2021;106;6.2;Spanish
248;Citation;Drama;06.11.2020;151;6.2;English
249;Crazy Awesome Teachers;Comedy-drama;17.08.2020;101;6.2;Indonesian
250;Have You Ever Seen Fireflies?;Comedy;09.04.2021;114;6.2;Turkish
251;High Flying Bird;Sports-drama;08.02.2019;90;6.2;English
252;In the Shadow of the Moon;Thriller;27.09.2019;115;6.2;English
253;Lost Bullet;Thriller;19.06.2020;92;6.2;French
254;Octonauts & the Caves of Sac Actun;Animation;14.08.2020;72;6.2;English
255;Offering to the Storm;Thriller;24.07.2020;139;6.2;Spanish
256;Roxanne Roxanne;Biopic;23.03.2018;98;6.2;English
257;Someone Great;Romantic comedy;19.04.2019;92;6.2;English
258;Spenser Confidential;Action comedy;06.03.2020;111;6.2;English
259;The Land of Steady Habits;Drama;14.09.2018;98;6.2;English
260;The Rachel Divide;Documentary;27.04.2018;104;6.2;English
261;Voyuer ;Documentary;01.12.2017;95;6.2;English
262;Win It All;Comedy;07.04.2017;88;6.2;English
263;1922;Horror/Crime drama;20.10.2017;102;6.3;English
264;A Tale of Two Kitchens;Documentary;22.05.2019;30;6.3;English/Spanish
265;Alex Strangelove;Romantic comedy;08.06.2018;99;6.3;English
266;Apostle;Horror-thriller;12.10.2018;129;6.3;English
267;Benji;Family film;16.03.2018;87;6.3;English
268;Bright;Urban fantasy;22.12.2017;117;6.3;English
269;Cargo;Drama/Horror;18.05.2018;104;6.3;English
270;Concrete Cowboy;Drama;02.04.2021;111;6.3;English
271;Feel the Beat;Family/Comedy-drama;19.06.2020;107;6.3;English
272;Get the Goat;Comedy;18.03.2021;97;6.3;Portuguese
273;I Am Not an Easy Man;Romantic comedy;13.04.2018;98;6.3;French
274;June & Kopi;Drama;28.01.2021;90;6.3;Indonesian
275;Music Teacher;Drama;19.04.2019;101;6.3;Hindi
276;Nail Bomber: Manhunt;Documentary;26.05.2021;72;6.3;English
277;Notes for My Son;Drama;24.11.2020;83;6.3;Spanish
278;Polar;Action;25.01.2019;118;6.3;English
279;Porta dos Fundos: The Last Hangover;Comedy;21.12.2018;44;6.3;Portuguese
280;Sand Castle;War;21.04.2017;113;6.3;English
281;Shimmer Lake;Crime thriller;09.06.2017;86;6.3;English
282;Spectral;Science fiction/Action;09.12.2016;108;6.3;English
283;The Babysitter;Teen comedy horror;13.10.2017;85;6.3;English
284;The Discovery;Science fiction/Drama;31.03.2017;102;6.3;English
285;The Forest of Love;Drama;11.10.2019;151;6.3;Japanese
286;The Laundromat;Comedy-drama;18.10.2019;98;6.3;English
287;The Legend of Cocaine Island;Documentary;29.03.2019;87;6.3;English
288;The Outsider;Crime drama;09.03.2018;120;6.3;English/Japanese
289;Time to Hunt;Thriller;23.04.2020;134;6.3;Korean
290;To All the Boys: Always and Forever;Romantic comedy;12.02.2021;109;6.3;English
291;Travis Scott: Look Mom I Can Fly;Documentary;28.08.2019;85;6.3;English
292;Uncorked;Drama;27.03.2020;103;6.3;English
293;Anelka: Misunderstood;Documentary;05.08.2020;94;6.4;French
294;Ariana Grande: Excuse Me, I Love You;Concert Film;21.12.2020;97;6.4;English
295;ARQ;Science fiction/Thriller;16.09.2016;88;6.4;English
296;Birders;Documentary;25.09.2019;37;6.4;English/Spanish
297;Como Caído del Cielo;Musical comedy;24.12.2019;112;6.4;Spanish
298;First Match;Sports-drama;30.03.2018;102;6.4;English
299;Fractured;Thriller;11.10.2019;100;6.4;English
300;Irreplaceable You;Drama;16.02.2018;96;6.4;English
301;Isi & Ossi;Romantic comedy;14.02.2020;113;6.4;German
302;John Was Trying to Contact Aliens;Documentary;20.08.2020;16;6.4;English
303;Layla Majnun;Romantic drama;11.02.2021;119;6.4;Indonesian
304;Murder to Mercy: The Cyntoia Brown Story;Documentary;29.04.2020;97;6.4;English
305;My Own Man;Documentary;13.12.2014;81;6.4;English
306;Nappily Ever After;Comedy-drama;21.09.2018;98;6.4;English
307;Over the Moon;Animation/Musical/Adventure;23.10.2020;95;6.4;English
308;Street Flow;Drama;12.10.2019;96;6.4;French
309;Strong Island;Documentary;15.09.2017;107;6.4;English
310;Sturgill Simpson Presents: Sound & Fury;Animation / Musicial;27.09.2019;41;6.4;English
311;Take Your Pills;Documentary;16.03.2018;87;6.4;English
312;The Heartbreak Club;Comedy-drama;14.01.2021;101;6.4;Indonesian
313;The Mars Generation;Documentary;05.05.2017;97;6.4;English
314;The Occupant;Thriller;25.03.2020;103;6.4;Spanish
315;The Willoughbys;Animation/Comedy/Adventure;22.04.2020;90;6.4;English
316;Triple Frontier;Action-thriller;13.03.2019;125;6.4;English
317;Two Catalonias;Documentary;28.09.2018;116;6.4;Spanish/Catalan
318;Walk. Ride. Rodeo.;Drama;08.03.2019;99;6.4;English
319;Wheelman;Action thriller;20.10.2017;82;6.4;English
320;When We First Met;Romantic comedy;09.02.2018;97;6.4;English
321;A 3 Minute Hug;Documentary;28.10.2019;28;6.5;English/Spanish
322;All the Bright Places;Romance;28.02.2020;108;6.5;English
323;All Together Now;Drama;28.08.2020;93;6.5;English
