id;Date;Open;High;Low;Close;Adj_Close;Volume
1130;14.11.2006;4.237143;4.238571;4.131429;4.155714;4.155714;6176800
1131;15.11.2006;4.144286;4.260000;4.120000;4.250000;4.250000;8296400
1132;16.11.2006;4.242857;4.250000;4.161429;4.181429;4.181429;4421900
1133;17.11.2006;4.181429;4.181429;4.121429;4.131429;4.131429;3567200
1134;20.11.2006;4.131429;4.197143;4.114286;4.154286;4.154286;2908500
1135;21.11.2006;4.178571;4.200000;4.142857;4.181429;4.181429;3021200
1136;22.11.2006;4.194286;4.245714;4.167143;4.227143;4.227143;2942100
1137;24.11.2006;4.171429;4.195714;4.164286;4.194286;4.194286;1978900
1138;27.11.2006;4.172857;4.185714;4.124286;4.138571;4.138571;6035400
1139;28.11.2006;4.104286;4.142857;4.074286;4.120000;4.120000;6202700
1140;29.11.2006;4.144286;4.201429;4.125714;4.170000;4.170000;4333000
1141;30.11.2006;4.138571;4.250000;4.134286;4.182857;4.182857;6510000
1142;01.12.2006;4.195714;4.285714;4.144286;4.208571;4.208571;6374200
1143;04.12.2006;4.200000;4.207143;4.130000;4.132857;4.132857;5062400
1144;05.12.2006;4.161429;4.182857;4.042857;4.141429;4.141429;6920900
1145;06.12.2006;4.110000;4.135714;4.064286;4.068571;4.068571;3364900
1146;07.12.2006;4.060000;4.074286;3.950000;3.961429;3.961429;6400100
1147;08.12.2006;3.964286;3.984286;3.897143;3.950000;3.950000;4631900
1148;11.12.2006;4.037143;4.085714;3.998571;4.067143;4.067143;7196700
1149;12.12.2006;4.067143;4.084286;4.027143;4.052857;4.052857;6152300
1150;13.12.2006;4.084286;4.095714;4.021429;4.057143;4.057143;2983400
1151;14.12.2006;3.857143;4.024286;3.827143;3.965714;3.965714;6944000
1152;15.12.2006;3.914286;4.011429;3.914286;3.942857;3.942857;4953900
1153;18.12.2006;3.942857;3.957143;3.795714;3.805714;3.805714;6941200
1154;19.12.2006;3.790000;3.891429;3.742857;3.865714;3.865714;7105700
1155;20.12.2006;3.857143;3.938571;3.855714;3.908571;3.908571;3940300
1156;21.12.2006;3.901429;3.961429;3.814286;3.827143;3.827143;5047700
1157;22.12.2006;3.814286;3.818571;3.734286;3.742857;3.742857;5220600
1158;26.12.2006;3.734286;3.888571;3.734286;3.834286;3.834286;4184600
1159;27.12.2006;3.857143;3.860000;3.781429;3.784286;3.784286;4634700
1160;28.12.2006;3.761429;3.805714;3.727143;3.728571;3.728571;7859600
1161;29.12.2006;3.722857;3.828571;3.692857;3.694286;3.694286;6937700
1162;03.01.2007;3.714286;3.824286;3.677143;3.801429;3.801429;16440900
1163;04.01.2007;3.772857;3.828571;3.585714;3.621429;3.621429;15959300
1164;05.01.2007;3.620000;3.620000;3.492857;3.544286;3.544286;15190700
1165;08.01.2007;3.545714;3.555714;3.367143;3.404286;3.404286;18344900
1166;09.01.2007;3.427143;3.440000;3.360000;3.427143;3.427143;10611300
1167;10.01.2007;3.424286;3.464286;3.411429;3.438571;3.438571;11448500
1168;11.01.2007;3.422857;3.507143;3.411429;3.462857;3.462857;9130100
1169;12.01.2007;3.408571;3.411429;3.241429;3.244286;3.244286;22171100
1170;16.01.2007;3.464286;3.485714;3.242857;3.248571;3.248571;30134300
1171;17.01.2007;3.260000;3.292857;3.234286;3.261429;3.261429;15204000
1172;18.01.2007;3.251429;3.282857;3.167143;3.178571;3.178571;11298700
1173;19.01.2007;3.174286;3.260000;3.171429;3.222857;3.222857;12152000
1174;22.01.2007;3.264286;3.281429;3.114286;3.128571;3.128571;18595500
1175;23.01.2007;3.114286;3.190000;3.100000;3.108571;3.108571;20239100
